DATE,DGS10
3/1/2023,4.01
3/2/2023,4.08
3/3/2023,3.97
3/6/2023,3.98
3/7/2023,3.97
3/8/2023,3.98
3/9/2023,3.93
3/10/2023,3.7
3/13/2023,3.55
3/14/2023,3.64
3/15/2023,3.51
3/16/2023,3.56
3/17/2023,3.39
3/20/2023,3.47
3/21/2023,3.59
3/22/2023,3.48
3/23/2023,3.38
3/24/2023,3.38
3/27/2023,3.53
3/28/2023,3.55
3/29/2023,3.57
3/30/2023,3.55
